标题,URL,BV号,发布时间,UP主,播放量,弹幕数,点赞数,投币数,收藏量,转发数,评论数
【2025全球总决赛】11月9日 T1夺冠颁奖仪式,https://www.bilibili.com/video/BV1uck9B6E9m,BV1uck9B6E9m,2025-11-09 20:56:26,哔哩哔哩英雄联盟赛事,864126,3859,14429,1636,2735,984,5057
【2025全球总决赛】11月9日 KT vs T1,https://www.bilibili.com/video/BV1oskQBLEA6,BV1oskQBLEA6,2025-11-09 16:21:46,哔哩哔哩英雄联盟赛事,7054634,48358,38619,15732,14090,3066,27675
【2025全球总决赛】11月9日 总决赛开幕式,https://www.bilibili.com/video/BV1sTkQBZEwc,BV1sTkQBZEwc,2025-11-09 15:42:23,哔哩哔哩英雄联盟赛事,209030,612,3401,604,782,481,892
TES.KANAVI专访：和队友走到这里都辛苦了，希望都有好的未来【2025全球总决赛】,https://www.bilibili.com/video/BV1vf1aBwEVN,BV1vf1aBwEVN,2025-11-03 17:24:38,哔哩哔哩英雄联盟赛事,665959,4197,5323,187,512,2540,3931
【S15淘汰赛TOP5】11月2日：弹雨倾霄焚寂夜 无畏冲锋破敌群,https://www.bilibili.com/video/BV1gb1FBYENW,BV1gb1FBYENW,2025-11-02 19:45:31,哔哩哔哩英雄联盟赛事,53980,44,1486,96,45,52,216
【S15赛事速看】淘汰赛D6: T1三比零击败TES晋级决赛,https://www.bilibili.com/video/BV1Db1FBaEA2,BV1Db1FBaEA2,2025-11-02 19:45:19,哔哩哔哩英雄联盟赛事,97847,249,1623,101,71,67,380
LOL比赛竞猜全中两次！本黄金选手的游戏理解还是可以的！！千元奖金到手LPL没有输！@,https://www.bilibili.com/video/BV1GCyoBxEsF,BV1GCyoBxEsF,2025-11-02 18:21:28,白马的卡文迪许丶,456,0,0,0,0,1,3
【2025全球总决赛】11月2日 T1 vs TES,https://www.bilibili.com/video/BV12ayZBQE96,BV12ayZBQE96,2025-11-02 16:06:18,哔哩哔哩英雄联盟赛事,4344288,45335,18958,3869,4733,1697,28130
【S15赛事速看】淘汰赛D5: KT三比一击败GEN晋级决赛,https://www.bilibili.com/video/BV12HyQBNEsD,BV12HyQBNEsD,2025-11-01 21:09:54,哔哩哔哩英雄联盟赛事,165926,631,2582,210,110,114,570
【S15淘汰赛TOP5】11月1日：毒瘴蔽天锁生路 炽流冲阵退万敌,https://www.bilibili.com/video/BV12HyQBNEfV,BV12HyQBNEfV,2025-11-01 21:09:03,哔哩哔哩英雄联盟赛事,32535,17,1246,84,41,25,90
哔哩哔哩英雄联盟线下观赛武汉站，现场氛围无敌好！！！ 巅峰时刻 奕起见证！！！,https://www.bilibili.com/video/BV1oU1jBXETT,BV1oU1jBXETT,2025-11-01 16:30:32,椎名ましろさいこう,146,0,1,0,0,1,2
【2025全球总决赛】11月1日 GEN vs KT,https://www.bilibili.com/video/BV1gF17BjEDv,BV1gF17BjEDv,2025-11-01 16:22:08,哔哩哔哩英雄联盟赛事,3687641,25311,16835,3376,3524,1003,21708
AL.FLANDRE专访：好与坏都不在意别人评价我【2025全球总决赛】,https://www.bilibili.com/video/BV1HA1uBGEqu,BV1HA1uBGEqu,2025-11-01 01:48:36,哔哩哔哩英雄联盟赛事,1152714,933,16398,2086,1766,750,5312
【S15赛事速看】淘汰赛D4: T1三比二击败AL晋级四强,https://www.bilibili.com/video/BV1F41gByEt7,BV1F41gByEt7,2025-10-31 22:09:03,哔哩哔哩英雄联盟赛事,133772,535,2085,176,120,99,797
【S15淘汰赛TOP5】10月31日：残影灼灼夺命印 铁链撼岳溃千军,https://www.bilibili.com/video/BV1F41gByEB1,BV1F41gByEB1,2025-10-31 22:07:41,哔哩哔哩英雄联盟赛事,36143,34,1345,70,45,18,143
【2025全球总决赛】10月31日 AL vs T1,https://www.bilibili.com/video/BV1zW1KBcEJG,BV1zW1KBcEJG,2025-10-31 16:05:07,哔哩哔哩英雄联盟赛事,5956399,52043,27033,7852,7733,2554,43162
TES.369专访：年轻时候实力不够，现在理解KARSA了【2025全球总决赛】,https://www.bilibili.com/video/BV1AZyeBmEUy,BV1AZyeBmEUy,2025-10-30 23:45:26,哔哩哔哩英雄联盟赛事,1399503,805,26375,1981,2188,2823,3330
【S15淘汰赛TOP5】10月30日：机枢协奏织天网 铁刃暗袭猎惊魂,https://www.bilibili.com/video/BV1LuyYBaE8R,BV1LuyYBaE8R,2025-10-30 20:49:11,哔哩哔哩英雄联盟赛事,45057,33,1493,74,36,23,62
【S15赛事速看】淘汰赛D3: TES三比一击败G2晋级四强,https://www.bilibili.com/video/BV1vuyYBhEZw,BV1vuyYBhEZw,2025-10-30 20:47:57,哔哩哔哩英雄联盟赛事,199262,375,2626,249,102,74,262
【2025全球总决赛】10月30日 G2 vs TES,https://www.bilibili.com/video/BV1riyhBNErP,BV1riyhBNErP,2025-10-30 16:04:49,哔哩哔哩英雄联盟赛事,3617396,19320,18246,3741,2307,843,11700
【S15赛事速看】淘汰赛D2: KT三比零击败CFO晋级四强,https://www.bilibili.com/video/BV1u8yUBAESX,BV1u8yUBAESX,2025-10-29 19:15:30,哔哩哔哩英雄联盟赛事,121107,157,1700,104,45,19,204
【S15淘汰赛TOP5】10月29日：飞星流影掠穹苍 痛贯天灵摄死生,https://www.bilibili.com/video/BV1g8yUBAEA8,BV1g8yUBAEA8,2025-10-29 19:14:32,哔哩哔哩英雄联盟赛事,19817,2,1089,60,26,11,18
【2025全球总决赛】10月29日 KT vs CFO,https://www.bilibili.com/video/BV1moySBYECy,BV1moySBYECy,2025-10-29 15:59:59,哔哩哔哩英雄联盟赛事,1347060,4935,4927,466,666,237,6994
HLE.VIPER独家专访：物是人非，变的是我【2025全球总决赛】,https://www.bilibili.com/video/BV1HqykBPEgP,BV1HqykBPEgP,2025-10-28 23:58:58,哔哩哔哩英雄联盟赛事,677892,712,17485,3458,3526,3442,4492
【S15赛事速看】淘汰赛D1: GEN三比一击败HLE晋级四强,https://www.bilibili.com/video/BV1Jvy6BoEFj,BV1Jvy6BoEFj,2025-10-28 20:52:24,哔哩哔哩英雄联盟赛事,140782,385,2345,166,111,119,421
【S15淘汰赛TOP5】10月28日：怒放倾城贯寰宇 封尘绝念斩虚妄,https://www.bilibili.com/video/BV1fvy6BdEHF,BV1fvy6BdEHF,2025-10-28 20:47:25,哔哩哔哩英雄联盟赛事,31705,5,1304,64,34,21,36
【2025全球总决赛】10月28日 HLE vs GEN,https://www.bilibili.com/video/BV1mdyBBeE5T,BV1mdyBBeE5T,2025-10-28 16:02:42,哔哩哔哩英雄联盟赛事,2927962,16368,13899,2933,3134,1284,13488
《 S 1 5 官 方 新 活 》,https://www.bilibili.com/video/BV1FbsyzzEx6,BV1FbsyzzEx6,2025-10-27 11:07:21,哔哩哔哩英雄联盟赛事,471072,444,4297,178,428,298,689
【S15瑞士轮TOP5】10月25日：狂沙席卷湮敌魄 旋转飞斧戏命途,https://www.bilibili.com/video/BV1M9sZzfEQ3,BV1M9sZzfEQ3,2025-10-25 21:47:01,哔哩哔哩英雄联盟赛事,99511,84,1703,87,52,49,222
【S15赛事速看】瑞士轮D9: CFO二比零击败FLY TES让一追二战胜BLG T1二比零拿下MKOI,https://www.bilibili.com/video/BV146sfz4EXs,BV146sfz4EXs,2025-10-25 21:05:14,哔哩哔哩英雄联盟赛事,169639,457,2091,119,80,50,330
